id,name,price,originalPrice,image,category,subcategory,brand,description,features,tags,specifications,inStock
1,"Wireless Noise-Canceling Headphones",299.99,399.99,"https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500&h=300&fit=crop","Electronics","Audio","AudioTech","Premium wireless headphones with industry-leading noise cancellation and 30-hour battery life.","Active Noise Cancellation with 8 microphones|30-hour battery life with quick charge|Premium comfort with memory foam cushions|High-quality audio with custom drivers|Multipoint Bluetooth connection","wireless|noise-canceling|bluetooth|premium|long-battery","{""batteryLife"":""30 hours"",""connectivity"":""Bluetooth 5.0"",""weight"":""250g"",""driverSize"":""40mm""}",true
2,"Smart Fitness Tracker",199.99,249.99,"https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6?w=500&h=300&fit=crop","Wearables","Fitness","FitPro","Advanced fitness tracker with GPS, heart rate monitoring, and 7-day battery life.","Built-in GPS for accurate tracking|24/7 heart rate monitoring|Sleep quality analysis|Water-resistant up to 50 meters|Smart notifications and app ecosystem","fitness|gps|heart-rate|waterproof|health","{""batteryLife"":""7 days"",""waterResistance"":""50m"",""displaySize"":""1.4 inches"",""sensors"":[""GPS"",""Heart Rate"",""Accelerometer""]}",true
3,"Ergonomic Office Chair",449.99,,"https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=500&h=300&fit=crop","Furniture","Office","ErgoComfort","Professional ergonomic office chair with lumbar support and adjustable features.","Adjustable lumbar support|Height and tilt adjustment|Breathable mesh fabric|360-degree swivel base|Weight capacity up to 300 lbs","ergonomic|office|adjustable|lumbar-support|professional","{""material"":""Mesh fabric"",""weightCapacity"":""300 lbs"",""adjustments"":[""height"",""tilt"",""lumbar""],""warranty"":""5 years""}",false
4,"Portable Bluetooth Speaker",89.99,119.99,"https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=500&h=300&fit=crop","Electronics","Audio","SoundWave","Waterproof portable speaker with 360-degree sound and 20-hour battery life.","360-degree surround sound|IPX7 waterproof rating|20-hour battery life|Wireless stereo pairing|Built-in microphone for calls","portable|bluetooth|waterproof|360-sound|long-battery","{""batteryLife"":""20 hours"",""waterproof"":""IPX7"",""connectivity"":""Bluetooth 5.0"",""power"":""20W""}",true
5,"Smart Home Security Camera",159.99,,"https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=500&h=300&fit=crop","Smart Home","Security","SecureVision","AI-powered security camera with 4K video, night vision, and smart alerts.","4K Ultra HD video recording|Advanced night vision|AI person and vehicle detection|Two-way audio communication|Cloud and local storage options","security|4k|night-vision|ai-detection|smart-home","{""resolution"":""4K Ultra HD"",""nightVision"":""Advanced IR"",""storage"":[""Cloud"",""Local""],""detection"":""AI-powered""}",true
6,"Premium Coffee Maker",249.99,299.99,"https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=500&h=300&fit=crop","Kitchen","Appliances","BrewMaster","Programmable drip coffee maker with thermal carafe and customizable brewing options.","12-cup thermal carafe|Programmable 24-hour timer|Adjustable brew strength|Auto shut-off safety feature|Permanent gold-tone filter included","coffee|programmable|thermal|12-cup|premium","{""capacity"":""12 cups"",""carafeType"":""Thermal"",""programmable"":true,""filterType"":""Gold-tone permanent""}",true
7,"Mechanical Gaming Keyboard",129.99,,"https://images.unsplash.com/photo-1541140532154-b024d705b90a?w=500&h=300&fit=crop","Gaming","Peripherals","GamePro","RGB mechanical keyboard with tactile switches and customizable lighting effects.","Mechanical tactile switches|RGB backlighting with effects|Anti-ghosting technology|Programmable macro keys|Detachable USB-C cable","mechanical|gaming|rgb|tactile|programmable","{""switchType"":""Mechanical tactile"",""backlighting"":""RGB"",""connectivity"":""USB-C"",""keyLayout"":""Full-size""}",true
8,"Wireless Charging Pad",39.99,59.99,"https://images.unsplash.com/photo-1609592193419-8e3c0c7c9b3e?w=500&h=300&fit=crop","Accessories","Charging","ChargeTech","Fast wireless charging pad compatible with all Qi-enabled devices.","10W fast wireless charging|Qi-certified compatibility|LED charging indicator|Non-slip surface design|Overcharge protection","wireless-charging|qi-compatible|fast-charging|accessory|safe","{""power"":""10W"",""compatibility"":""Qi-enabled devices"",""safety"":""Overcharge protection"",""indicator"":""LED""}",true
9,"Studio Monitor Headphones",199.99,,"https://images.unsplash.com/photo-1583394838336-acd977736f90?w=500&h=300&fit=crop","Electronics","Audio","AudioTech","Professional studio monitor headphones with flat frequency response and exceptional clarity.","Flat frequency response|Open-back design for natural sound|Detachable cable|Comfortable over-ear design|Professional-grade drivers","studio|monitor|professional|open-back|flat-response","{""impedance"":""250 ohms"",""frequency"":""5Hz-35kHz"",""design"":""Open-back"",""driverSize"":""40mm""}",true
10,"Budget Wireless Headphones",79.99,99.99,"https://images.unsplash.com/photo-1524678606370-a47ad25cb82a?w=500&h=300&fit=crop","Electronics","Audio","SoundWave","Affordable wireless headphones with good sound quality and 25-hour battery life.","25-hour battery life|Lightweight design|Clear call quality|Foldable for portability|Quick charge feature","budget|wireless|lightweight|long-battery|portable","{""batteryLife"":""25 hours"",""weight"":""180g"",""connectivity"":""Bluetooth 5.0"",""quickCharge"":""2 hours for full charge""}",true
11,"Advanced Sports Watch",349.99,,"https://images.unsplash.com/photo-1434494878577-86c23bcb06b9?w=500&h=300&fit=crop","Wearables","Fitness","SportsTech","Premium sports watch with advanced metrics, GPS, and multi-sport tracking.","Multi-sport tracking modes|Advanced performance metrics|Built-in GPS and GLONASS|10-day battery life|Rugged design with sapphire glass","sports|premium|gps|multi-sport|rugged","{""batteryLife"":""10 days"",""waterResistance"":""100m"",""glass"":""Sapphire crystal"",""sensors"":[""GPS"",""GLONASS"",""Heart Rate"",""Barometer""]}",true
12,"Basic Fitness Band",49.99,79.99,"https://images.unsplash.com/photo-1544117519-31a4b719223d?w=500&h=300&fit=crop","Wearables","Fitness","FitBasic","Simple and affordable fitness band with step tracking and heart rate monitoring.","Step and calorie tracking|Heart rate monitoring|Sleep tracking|14-day battery life|Water-resistant design","basic|affordable|step-tracking|heart-rate|simple","{""batteryLife"":""14 days"",""waterResistance"":""5ATM"",""display"":""OLED"",""connectivity"":""Bluetooth 4.0""}",true
13,"Resistance Bands Set",29.99,,"https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=500&h=300&fit=crop","Fitness","Equipment","FlexFit","Complete resistance bands set with multiple resistance levels and accessories.","5 resistance levels|Door anchor included|Foam handles for comfort|Carrying bag included|Exercise guide provided","resistance|bands|home-gym|portable|complete-set","{""resistanceLevels"":5,""maxResistance"":""150 lbs"",""material"":""Natural latex"",""accessories"":[""Door anchor"",""Handles"",""Bag""]}",true
14,"Executive Leather Chair",599.99,,"https://images.unsplash.com/photo-1506439773649-6e0eb8cfb237?w=500&h=300&fit=crop","Furniture","Office","LuxurySeating","Premium executive chair with genuine leather upholstery and advanced ergonomics.","Genuine leather upholstery|Advanced lumbar support|Heated and massage functions|Memory foam cushioning|Premium gas cylinder","executive|leather|premium|heated|massage","{""material"":""Genuine leather"",""features"":[""Heating"",""Massage"",""Memory foam""],""weightCapacity"":""350 lbs"",""warranty"":""10 years""}",true
15,"Standing Desk Converter",279.99,,"https://images.unsplash.com/photo-1541558869434-2840d308329a?w=500&h=300&fit=crop","Furniture","Office","ErgoDesk","Adjustable standing desk converter that transforms any desk into a sit-stand workstation.","Height adjustable design|Dual monitor support|Keyboard tray included|Easy assembly|Stable platform design","standing-desk|adjustable|ergonomic|converter|dual-monitor","{""adjustmentRange"":""15 inches"",""monitorSupport"":""Dual 24-inch"",""weightCapacity"":""33 lbs"",""dimensions"":""36 x 22 inches""}",true
16,"LED Desk Lamp",69.99,,"https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=500&h=300&fit=crop","Furniture","Lighting","BrightWork","Smart LED desk lamp with adjustable brightness and color temperature.","Adjustable brightness levels|Color temperature control|USB charging port|Touch controls|Memory function","led|desk-lamp|adjustable|usb-charging|smart","{""brightness"":""2000 lumens"",""colorTemp"":""3000K-6500K"",""usbPort"":""5V/1A"",""power"":""12W LED""}",true
17,"Rugged Outdoor Speaker",149.99,,"https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=500&h=300&fit=crop","Electronics","Audio","AdventureTech","Ultra-rugged Bluetooth speaker designed for extreme outdoor conditions.","IP67 waterproof and dustproof|Shockproof design|40-hour battery life|Built-in power bank|360-degree sound","rugged|outdoor|waterproof|shockproof|power-bank","{""batteryLife"":""40 hours"",""waterproof"":""IP67"",""shockproof"":""Military grade"",""powerBank"":""Built-in USB""}",true
18,"Compact Travel Speaker",39.99,59.99,"https://images.unsplash.com/photo-1545454675-3531b543be5d?w=500&h=300&fit=crop","Electronics","Audio","TravelSound","Ultra-compact Bluetooth speaker perfect for travel with surprising sound quality.","Ultra-compact design|12-hour battery life|Water-resistant coating|Built-in microphone|Easy pairing","compact|travel|portable|water-resistant|small","{""size"":""2.5 x 2.5 x 1.5 inches"",""weight"":""6 oz"",""batteryLife"":""12 hours"",""waterResistance"":""IPX4""}",true
19,"Pan-Tilt Security Camera",229.99,,"https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=500&h=300&fit=crop","Smart Home","Security","SecureVision","Advanced pan-tilt security camera with 4K resolution and smart tracking.","Pan and tilt functionality|4K Ultra HD recording|Auto-tracking subjects|Two-way audio|Smart motion zones","pan-tilt|4k|auto-tracking|smart|security","{""resolution"":""4K Ultra HD"",""panTilt"":""355°/90°"",""tracking"":""AI-powered"",""nightVision"":""Color night vision""}",true
20,"Budget Security Camera",79.99,99.99,"https://images.unsplash.com/photo-1558618047-3c8c76ca7d13?w=500&h=300&fit=crop","Smart Home","Security","HomeSafe","Affordable security camera with essential features for basic home monitoring.","1080p HD recording|Night vision|Motion detection|Mobile app access|Easy installation","budget|1080p|basic|motion-detection|easy-install","{""resolution"":""1080p HD"",""nightVision"":""Infrared"",""storage"":""Cloud/SD card"",""connectivity"":""Wi-Fi""}",true
21,"Car Phone Mount",24.99,,"https://images.unsplash.com/photo-1609592193419-8e3c0c7c9b3e?w=500&h=300&fit=crop","Accessories","Automotive","DriveEasy","Universal car phone mount with wireless charging capability.","Wireless charging pad|Universal phone compatibility|360-degree rotation|Strong magnetic hold|Easy one-hand operation","car-mount|wireless-charging|magnetic|universal|hands-free","{""charging"":""10W wireless"",""compatibility"":""4-7 inch phones"",""mounting"":""Dashboard/Windshield"",""rotation"":""360 degrees""}",true
22,"Smart Door Lock",199.99,,"https://images.unsplash.com/photo-1558618047-3c8c76ca7d13?w=500&h=300&fit=crop","Smart Home","Security","SecureHome","Smart deadbolt lock with keypad, fingerprint, and smartphone access.","Multiple access methods|Fingerprint recognition|Smartphone app control|Auto-lock function|Guest access codes","smart-lock|fingerprint|keypad|smartphone|auto-lock","{""accessMethods"":[""Fingerprint"",""Keypad"",""App"",""Key""],""battery"":""4 AA batteries"",""connectivity"":""Bluetooth/Wi-Fi"",""userCapacity"":""100 users""}",true
23,"Smart Doorbell Camera",149.99,199.99,"https://images.unsplash.com/photo-1558618047-3c8c76ca7d13?w=500&h=300&fit=crop","Smart Home","Security","DoorGuard","Smart video doorbell with HD video, two-way talk, and motion detection.","1080p HD video|Two-way audio communication|Motion detection alerts|Night vision capability|Cloud storage included","doorbell|video|two-way-audio|motion-alerts|hd","{""resolution"":""1080p HD"",""fieldOfView"":""160 degrees"",""storage"":""Cloud included"",""power"":""Rechargeable battery""}",true